dataset,use MT structures,is single-point,is multi-point,correlation computation,HCNN_biopython_proteinnet_0p00 - Pearsonr,HCNN_biopython_proteinnet_0p50 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr,proteinmpnn_v_48_002 - Pearsonr,proteinmpnn_v_48_020 - Pearsonr,proteinmpnn_v_48_030 - Pearsonr,HCNN_biopython_proteinnet_0p00 - Spearmanr,HCNN_biopython_proteinnet_0p50 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr,proteinmpnn_v_48_002 - Spearmanr,proteinmpnn_v_48_020 - Spearmanr,proteinmpnn_v_48_030 - Spearmanr,HCNN_biopython_proteinnet_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr p-value,proteinmpnn_v_48_002 - Pearsonr p-value,proteinmpnn_v_48_020 - Pearsonr p-value,proteinmpnn_v_48_030 - Pearsonr p-value,HCNN_biopython_proteinnet_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_0p50 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr p-value,proteinmpnn_v_48_002 - Spearmanr p-value,proteinmpnn_v_48_020 - Spearmanr p-value,proteinmpnn_v_48_030 - Spearmanr p-value,measurement type,num measurements,num structures
T4 Lysozyme,False,True,False,per structure,0.6759949035880376,0.8000593891978328,0.7285210371297802,0.7944801294901259,0.7057066847256004,0.8193183238921975,0.6490028045776711,0.6897480729718878,0.7073113926006239,0.6511669561573726,0.7540356122161408,0.7366399370452271,0.7455050407380966,0.6993395950922104,0.7859834387319533,0.6581921326687032,0.7269385028152946,0.6990050628773852,1.577962764306043e-05,2.3089844137568884e-08,1.5353257047632868e-06,3.3928383450512907e-08,4.4907500321293015e-06,5.5440002460292146e-09,4.396043859061556e-05,8.981944813028484e-06,4.177938166096894e-06,4.064312077327369e-05,4.045590610708468e-07,1.0210129764433871e-06,6.428816773398926e-07,5.953070448384568e-06,5.964379897624337e-08,3.137005390648542e-05,1.6596213849007116e-06,6.04069190324437e-06,-ddG stability,33.0,1.0
T4 Lysozyme,True,True,False,per structure,0.6139428905181217,0.7387146772201809,0.6913471342382004,0.7524271194505415,0.7046801326814014,0.7545913016544736,0.7993998699465849,0.7702458300243499,0.7809736293826224,0.6329349504493959,0.7483485645641113,0.7240949789892799,0.7684204974536271,0.7475122340270483,0.7615625870497091,0.8088988954474837,0.7754456739649576,0.757548200471806,0.0001446598560112,9.177582382192168e-07,8.395735120733658e-06,4.421012387977607e-07,4.701873006055916e-06,3.922832981976644e-07,2.417958655749709e-08,1.5907813997847294e-07,8.221303661928383e-08,7.726731787123555e-05,5.520273064584846e-07,1.9062502442344812e-06,1.7736540899303517e-07,5.774470783174666e-07,2.646612103287261e-07,1.2236415912577612e-08,1.1603884524071761e-07,3.325057175044295e-07,-ddG stability,33.0,1.0
SKEMPI 2.0,False,True,True,per structure,0.2012103419802816,0.2386254485026699,0.2089819725064822,0.2396649907415791,0.2624512474337325,0.2865516756449183,0.2465148487777517,0.2448246385940236,0.2371198518793956,0.2016982168063146,0.2436423872865518,0.2101351974055631,0.2449768448296054,0.2552327811002116,0.2875622108822119,0.2504374863186615,0.242222563417922,0.2306225485679115,1.836156993383331e-37,4.0308537603171636e-53,2.8220797642226345e-42,9.843649711858822e-49,7.972099780654893e-65,2.1519258919972963e-79,2.066590932009949e-64,1.01745857188921e-57,1.4616168810286437e-59,4.996121941850907e-32,4.377725075846001e-50,7.971168689588521e-35,2.6726571719452544e-45,1.213781531370692e-58,1.9174059374157807e-73,1.3060155950740172e-75,2.7680215943672357e-65,3.269760846935066e-68,-ddG binding,5025.0,116.0
SKEMPI 2.0,False,True,False,per structure,0.2231120056519761,0.2591635874574892,0.2314701644257341,0.2662649768704484,0.2938838665325319,0.3147918328570184,0.2812994506967083,0.2978590077182491,0.2701855640462591,0.2149571012154249,0.2585071069348085,0.2204466220111911,0.2623373353133503,0.2742101896984543,0.3061978011736313,0.2824187449346182,0.289620870102753,0.2549343242631973,1.23089843030022e-27,4.4873184571557745e-43,1.840416976574437e-33,4.146441063302967e-40,2.7148833900353403e-51,1.7718345244184196e-67,1.741384326136098e-52,2.2175829742100467e-51,1.0067308198136098e-47,1.781239498377738e-22,2.0432860669410798e-33,1.4040665435608492e-25,1.6118904290538682e-31,2.4000934053082286e-41,2.0975190327157e-53,6.783369921716889e-55,2.3042301958210228e-52,6.980261235966959e-47,-ddG binding,3485.0,93.0
SKEMPI 2.0,False,False,True,per structure,0.2603860704977234,0.3051861807650836,0.2431911232930853,0.2883814844236617,0.2795939934593864,0.3117877240776959,0.272326354777904,0.284365183335215,0.3003921299217608,0.2783460930543303,0.3097851071667816,0.264726624660289,0.2957578940310161,0.2840723695849497,0.3204217715510088,0.2408809481433339,0.2235762897016265,0.2395355421245424,1.654919795302372e-22,5.195077616007295e-25,1.2150316433549919e-20,4.0496265522978004e-21,7.14026803548907e-28,2.5153756827783564e-25,1.2686477480125902e-25,1.0694400567077294e-25,1.0863885632380938e-32,1.25786202243607e-22,2.198073560034847e-25,1.8675616811219626e-21,8.538943959859328e-23,9.939974117975611e-32,1.4421830346546812e-27,6.306140532860492e-23,8.486880457687094e-22,1.1589635910777715e-26,-ddG binding,1304.0,41.0
SKEMPI 2.0,False,True,True,overall,0.1870241046190397,0.2070949203540724,0.2040507446809008,0.2078182607592731,0.2408553843916353,0.2517812090112662,0.2857567356224468,0.2711471856499516,0.2801903752644384,0.191218429427303,0.2272318524548606,0.1997354739090739,0.2224545524465842,0.2498158240932317,0.2702651658169423,0.2958521466787733,0.2758565805016849,0.2763372311541012,3.123148999335401e-46,1.6605458875643054e-56,7.095043250687167e-55,6.744238741422898e-57,3.3731691378272536e-76,2.5266801219243597e-83,4.857648291017215e-108,4.70563700659037e-97,8.941887745729596e-104,2.7541711128083176e-48,5.889110770486707e-68,1.3121316227701941e-52,3.905053215919471e-65,5.135154346605941e-82,3.3816023572794262e-96,4.9989724966864175e-116,1.600890065428623e-100,7.022496502072268e-101,-ddG binding,5726.0,333.0
SKEMPI 2.0,False,True,False,overall,0.2174910763911451,0.2389764563285349,0.2414617674362826,0.2436455507287656,0.2808415317940252,0.290713769184994,0.3307363329198821,0.3288852391299638,0.334353598480238,0.1976555857228538,0.2366484460251561,0.2094738849850136,0.2341420442966253,0.2668671513679328,0.2861396354439753,0.3152788972234118,0.297731918267456,0.2893310456640724,2.784210143174029e-45,1.430988616755341e-54,1.0438017616176774e-55,1.0202587114760929e-56,2.6931591327014883e-75,8.700153953335742e-81,1.0835360531118847e-105,1.8272201860853922e-104,4.0974878827143225e-108,1.5064242544125472e-37,1.617417074545632e-53,4.639264375903374e-42,2.137592928737638e-52,6.709189739395965e-68,3.2449615901005723e-78,1.0495221211682622e-95,4.5446993585702906e-85,3.115624913574711e-80,-ddG binding,4118.0,310.0
SKEMPI 2.0,False,False,True,overall,0.2374624597226868,0.2703401415500924,0.2491752890641974,0.2654165361112711,0.2806933540776118,0.3041664944044882,0.3104872277185257,0.2735351876166605,0.2968906465409309,0.2510325925516413,0.2772173774461766,0.260836623865845,0.2703338802322051,0.2921051954380669,0.3073694127124446,0.3308315372768211,0.2994982908742632,0.3249078435181545,4.764159676592125e-22,2.4959222874055716e-28,3.5038525960353236e-24,2.4895714425532915e-27,1.7622984076625636e-30,9.52156163979934e-36,2.834469882877948e-37,5.467780743196983e-29,4.409791881246645e-34,1.5695380976860646e-24,9.264625589314438e-30,2.0258601847549328e-26,2.5033099849108507e-28,5.587144785511049e-33,1.664027945385975e-36,2.254431477254658e-42,1.1101727705745575e-34,7.561593682193313e-41,-ddG binding,1608.0,143.0
ATLAS,False,True,True,per structure,0.1802953424254932,0.1316214575664924,0.15093439506652,0.1624099142316486,0.0633075458185966,0.068682783503155,0.3126224793537101,0.1704715210638796,0.2305428720596684,0.1794976511126198,0.1089427182091842,0.1466109229405451,0.1542431690134581,0.0393701676335057,0.0990309166596124,0.2736107533120492,0.1053282999355471,0.1707391804273951,0.1381250875344752,0.0137927372787449,0.295171276657278,0.024798047379488,0.0831553879182733,0.0312243798948573,2.168308734318764e-06,1.2465934888104086e-05,5.428454131751634e-09,0.007619518630392,0.0006794572337409,0.0279224953338176,0.000858983656799,0.0009887781179808,0.0002026342156149,1.981487647316879e-07,9.844992611234163e-07,1.9340176882987576e-10,-ddG binding,266.0,8.0
ATLAS,True,True,True,per structure,0.2696207265706555,0.2735430742551329,0.2879116388180015,0.2762678380741953,0.2868887790919675,0.280986964995823,,0.1806679067009668,0.2407147134103715,0.2936267473699849,0.2714657181780192,0.2746067270010752,0.2661341664154636,0.26794263273841,0.3027485909124958,,0.1067360871964868,0.1661755001632515,0.0211715299366808,0.0110713946246204,0.0122111819452683,0.0126172374791351,0.0057951302638951,0.0073948016742065,,3.278045809981771e-05,1.3490349206788816e-08,0.0049083221701566,0.0082633252120114,0.0055912150317437,0.0038686220140986,0.009492096416666,0.0042338201006506,,3.3740165860417905e-06,6.825343214140166e-10,-ddG binding,265.0,8.0
